departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Orne,Le Rustique,http://fr.wikipedia.org/wiki/Le_Rustique,http://en.wikipedia.org/wiki/Le_Rustique,,Vache,soft-ripened-cheese
Pas-de-Calais,Le Sire de Créquy,http://fr.wikipedia.org/wiki/Le_Sire_de_Cr%C3%A9quy,,,Vache,rind-washed-cheese
Côte-d'Or,Le Trou du Cru,http://fr.wikipedia.org/wiki/Le_Trou_du_Cru,http://en.wikipedia.org/wiki/Trou_du_Cru,,Vache,rind-washed-cheese
Lozère,Lévéjac,http://fr.wikipedia.org/wiki/L%C3%A9v%C3%A9jac_%28marque%29,,,Brebis,uncooked-pressed-cheese
Aveyron,Lou Pérac,http://fr.wikipedia.org/wiki/Lou_P%C3%A9rac,,,Brebis,soft-ripened-cheese
Saône-et-Loire,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,http://en.wikipedia.org/wiki/M%C3%A2connais_cheese,,Chèvre,soft-ripened-cheese
Rhône,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,http://en.wikipedia.org/wiki/M%C3%A2connais_cheese,,Chèvre,soft-ripened-cheese
Nord,Mimolette,http://fr.wikipedia.org/wiki/Mimolette,http://en.wikipedia.org/wiki/Mimolette,,Vache,uncooked-pressed-cheese
Savoie,Moelleux du Revard,http://fr.wikipedia.org/wiki/Moelleux_du_Revard,,,Vache,rind-washed-cheese
Réunion,Mont Bébour,http://fr.wikipedia.org/wiki/Mont_B%C3%A9bour,,,Vache,soft-ripened-cheese
Nord,Mont des Cats,http://fr.wikipedia.org/wiki/Mont_des_Cats_%28marque_de_fromage%29,http://en.wikipedia.org/wiki/Mont_des_Cats_cheese,,Vache,uncooked-pressed-cheese
Haute-Loire,Montbriac,http://fr.wikipedia.org/wiki/Montbriac,,,Vache,blue-cheese
Saône-et-Loire,Montrachet,http://fr.wikipedia.org/wiki/Montrachet_%28marque%29,,,Chèvre,soft-ripened-cheese
Ariège,Montségur,http://fr.wikipedia.org/wiki/Monts%C3%A9gur_%28marque%29,,,Vache,uncooked-pressed-cheese
Ain,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,,Vache,uncooked-pressed-cheese
Jura,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,,Vache,uncooked-pressed-cheese
Saône-et-Loire,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,,Vache,uncooked-pressed-cheese
Doubs,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,,Vache,uncooked-pressed-cheese
Vienne,Mottin charentais,http://fr.wikipedia.org/wiki/Mottin_charentais,http://en.wikipedia.org/wiki/Mottin_charentais,,Vache,soft-ripened-cheese
Marne,Moulin de Gaye,http://fr.wikipedia.org/wiki/Moulin_de_Gaye,,,Vache,soft-ripened-cheese
Bas-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Meurthe-et-Moselle,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Haute-Saône,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Vosges,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Moselle,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Haut-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Territoire de Belfort,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,,Vache,rind-washed-cheese
Seine-Maritime,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,http://en.wikipedia.org/wiki/Neufch%C3%A2tel_cheese,,Vache,soft-ripened-cheese
Oise,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,http://en.wikipedia.org/wiki/Neufch%C3%A2tel_cheese,,Vache,soft-ripened-cheese
Réunion,Notre Dame de la Paix,http://fr.wikipedia.org/wiki/Notre_Dame_de_la_Paix,,,Vache,soft-ripened-cheese
Loiret,Olivet,http://fr.wikipedia.org/wiki/Olivet_%28fromage%29,http://en.wikipedia.org/wiki/Olivet_cendr%C3%A9,,Vache,rind-washed-cheese
Hautes-Pyrénées,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,http://en.wikipedia.org/wiki/Ossau-Iraty,,Brebis,uncooked-pressed-cheese
Pyrénées-Atlantiques,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,http://en.wikipedia.org/wiki/Ossau-Iraty,,Brebis,uncooked-pressed-cheese
Corrèze,Ovalie,http://fr.wikipedia.org/wiki/Ovalie_%28marque%29,,,Brebis,soft-ripened-cheese
Pyrénées-Atlantiques,P'tit Basque,http://fr.wikipedia.org/wiki/P%27tit_Basque,http://en.wikipedia.org/wiki/P%27tit_Basque,,Brebis,uncooked-pressed-cheese
Loiret,Pannes cendré,http://fr.wikipedia.org/wiki/Pannes_cendr%C3%A9,,,Vache,soft-ripened-cheese
Loiret,Patay,http://fr.wikipedia.org/wiki/Patay_%28fromage%29,,,Vache,soft-ripened-cheese
